PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1022392,Balti Eleketrijaam,Oil,472,,Sub-critical Thermal,,,,"1,360",,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Estonia,,59.3533,28.1185,,,,,,,,,,
1022393,Eesti Elektrijaam,Oil,1369,,Sub-critical Thermal,,,,"6,245",,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Estonia,,59.2748,27.90459,,,,,,,,,,
1022394,Kiisa AREJ 2,Natural Gas,250,,,,,,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Estonia,,59.243861,24.706414,,,,,,,,,,
1022396,IRU Elektrijaam,Natural Gas,173,,CCGT,,,,,Cogeneration,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,Operating,Estonia,,59.4514,24.9246,,,,,,,,,,
1022397,Pakri,Wind,18.4,"Paldiski, Harju",Onshore,2005,8 turbines,Nelja Energia OU,,,Estonian Wind Energy Association,http://www.tuuleenergia.ee/en/windpower-101/statistics-of-estonia/installed-capacity/,,,,,,,Operating,Estonia,,59.3806,24.0568,,,,,,,,,,
1022398,Viru Nigula,Wind,24,,Onshore,2007,8 turbines,Nelja Energia OU,,,Estonian Wind Energy Association,http://www.tuuleenergia.ee/en/windpower-101/statistics-of-estonia/installed-capacity/,,,,,,,Operating,Estonia,,59.4427,26.7654,,,,,,,,,,
1022399,Aseriaru,Wind,24,Aseri Parish,Onshore,2011,8 Turbines,Nelja Energia OU,,,Estonian Wind Energy Association,http://www.tuuleenergia.ee/en/windpower-101/statistics-of-estonia/installed-capacity/,,,,,,,Operating,Estonia,,59.452119,26.8259,,,,,,,,,,
1022400,Narva Ashfield Wind park,Wind,39.1,,Onshore,2012,18 Turbines,Eesti Energia,,,Estonian Wind Energy Association,http://www.tuuleenergia.ee/en/windpower-101/statistics-of-estonia/installed-capacity/,,,,,,,Operating,Estonia,,59.343191,28.058196,,,,,,,,,,
1022401,Aulepa,Wind,48,Aulepa,Onshore,2009,16 Turbines,Eesti Energia,,,Estonian Wind Energy Association,http://www.tuuleenergia.ee/en/windpower-101/statistics-of-estonia/installed-capacity/,,,,,,,Operating,Estonia,,59.08698,23.614393,,,,,,,,,,
1022402,Vanakula,Wind,9,Vanakula,Onshore,2009,3 turbines,Nelja Energia OU,,,Estonian Wind Energy Association,http://www.tuuleenergia.ee/en/windpower-101/statistics-of-estonia/installed-capacity/,,,,,,,Operating,Estonia,,59.121054,23.565732,,,,,,,,,,
1022403,Paldiski,Wind,45,"Paldiski, Harju",Onshore,2012,18 Turbines,Eesti Energia,,,Estonian Wind Energy Association,http://www.tuuleenergia.ee/en/windpower-101/statistics-of-estonia/installed-capacity/,,,,,,,Operating,Estonia,,59.371695,24.08078,,,,,,,,,,
1022404,Mali,Wind,12,Helmkula,Onshore,2014,,,,,Estonian Wind Energy Association,http://www.tuuleenergia.ee/en/windpower-101/statistics-of-estonia/installed-capacity/,,,,,,,Operating,Estonia,,58.445985,23.738457,,,,,,,,,,
1022405,Tooma-Esviere Wind Park,Wind,36,,Onshore,2012-2016,16 Turbines,"Skinest Energia, Nejla Energia",,,Estonian Wind Energy Association,http://www.tuuleenergia.ee/en/windpower-101/statistics-of-estonia/installed-capacity/,,,,,,,Operating,Estonia,,58.628626,23.530705,,,,,,,,,,
1022406,Virtsu II,Wind,6.9,Hanila,Onshore,2016,3 Turbines,Nejla Energia OU,,,Estonian Wind Energy Association,http://www.tuuleenergia.ee/en/windpower-101/statistics-of-estonia/installed-capacity/,,,,,,,Operating,Estonia,,58.591295,23.52983,,,,,,,,,,
1022407,Virtsu III,Wind,6.9,Virtsu,Onshore,2010,3 Turbines,Nejla Energia OU,,,Estonian Wind Energy Association,http://www.tuuleenergia.ee/en/windpower-101/statistics-of-estonia/installed-capacity/,,,,,,,Operating,Estonia,,58.56587,23.533289,,,,,,,,,,
1022408,Virtsu I,Wind,2.6,Virtsu,Onshore,2002,4 turbines,Nejla Energia OU,,,Estonian Wind Energy Association,http://www.tuuleenergia.ee/en/windpower-101/statistics-of-estonia/installed-capacity/,,,,,,,Operating,Estonia,,58.56374,23.508575,,,,,,,,,,
1022409,Tamba,Wind,6,Tamba,Onshore,2014,2 Turbines,Tuuleenergia OÃœ,,,Estonian Wind Energy Association,http://www.tuuleenergia.ee/en/windpower-101/statistics-of-estonia/installed-capacity/,,,,,,,Operating,Estonia,,58.492415,23.68555,,,,,,,,,,
,,,2541.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.9742813338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
