PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant Type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Source 2,URL 2,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_tCO2/MWh
1002473,Olkiluoto 1,Nuclear,880,Olkiluoto 1,,,,Teollisuuden Voima Oyj,7223.129,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,ENTSOE (for generation only),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Finland,Finland National Grid,,,,Olkiluoto,Olkiluoto,27160,,,,,,
1002473,Olkiluoto 2,Nuclear,880,Olkiluoto 2,,,,Teollisuuden Voima Oyj,6685.583,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,ENTSOE (for generation only),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Finland,Finland National Grid,,,,Olkiluoto,Olkiluoto,27160,,,,,,
1002454,Meri-Pori,Coal,565,Meri-Pori,,,,"Fortum Power & Heat , Generation",473.718,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,ENTSOE (for generation only),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Finland,Finland National Grid,,,Heavy distillates,Keilaniementie 1,PL 100,00048 Fortum,,,,,,
1002445,Loviisa Y1,Nuclear,496,Loviisa I,,,,"Fortum Power & Heat , Power",3911.809,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,ENTSOE (for generation only),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Finland,Finland National Grid,,,,Keilaniementie 1,PL 100,00048 Fortum,,,,,,
1002445,Loviisa Y2,Nuclear,496,Loviisa II,,,,"Fortum Power & Heat , Power",3926.634,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,ENTSOE (for generation only),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Finland,Finland National Grid,,,,Keilaniementie 1,PL 100,00048 Fortum,,,,,,
1002594,Vuosaari B,Natural Gas,485,Vuosaari B-voimalaitos,CHP,,,Helsingin Energia,2892.226,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,ENTSOE (for generation only),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Finland,Finland National Grid,,,Medium heavy distillates,Kampinkuja 2,HELEN,90,,,,,,
1002544,Suomenojan voimalaitos,Coal,358,Suomenojan voimalaitos,CHP,,,Fortum Power and Heat Oy,29.877,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,ENTSOE (for generation only),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Finland,Finland National Grid,,,Natural gas,PL 100,FORTUM,48,,,,,,
1002631,Forssa kt,Oil,332.6,"Varavoimalantie 6, 30420 Forssa",,,,Fingrid Oyj,2.399,,Nord Pool Spot,https://umm.nordpoolspot.com/infra/stations/510,ENTSOE (for generation only),https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,,,,,,,,Finland,Finland National Grid,,,,PL 530,Helsinki,101,,,,,,
1002349,Ilomantsin pellettitehdas,Peat,2.8,Ilomantsi,CHP,,,Vapo Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,Medium heavy distillates,PL 22,Jyväskylä,40101,,,,,,
1002356,Joensuu,Biomass,2.8,Joensuu,CHP,,,UPM-Kymmene Oyj,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,Peat,Ky-35,Kuusankoski,45700,,,,,,
1002368,Kaaranneskoski,Hydro,2.8,Kaaranneskoski,,,,Tornionlaakson Voima Oy-,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Myllytie 1,Pello,95700,,,,,,
1002322,Haapavesi,Natural Gas,2.7,Forssa,CHP,,,Vapo Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,Forest fuelwood,PL 22,Jyväskylä,40101,,,,,,
1002521,Ruusutarhat,Natural gas,2.7,Valkeala,,,,Ruusutarhat Suutari Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,Medium heavy distillates,Jyrääntie 400,45100   Kouvola,45100,,,,,,
1002587,Viikinmäki,Biomass,2.7,Viikinmäen jätevedenpuhdistamo,CHP,,,Helsingin Vesi,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,Medium heavy distillates,PL 1100,Helsingin kaupunki,99,,,,,,
1002327,Hankosaari 1-2 tv,Wind,2.6,Hangonsaari 1 ja 2,,,,Propel Voima Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,PL 11,Laitila,23801,,,,,,
1002323,Hamari,Hydro,2.5,"Hamari, Ylivieska",,,,Korpelan Voima kuntayhtymä,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,PL 13,Kannus,69101,,,,,,
1002420,Kumpuniemi,Biomass,2.5,Vaneritehtaankatu 1 Suolahti,CHP,,,Kumpuniemen Voima Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,PL 43,Suolahti,44201,,,,,,
1002641,Pettumäen Mylly,Wind,2.5,Pettumäki Teuva,,,,Pettumäen Mylly oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Joentaustantie 291,Teuva,64700,,,,,,
1002652,Sysimylly,Wind,2.5,"Luomankyläntie 591, Luomankylä",,,,Sysituuli Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Talvitie 333,Luomakylä,61810,,,,,,
1002654,Isonnevanmäki,Wind,2.5,"Isonnevanmäki, Kauhava",,,,Tuuliveikot Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Mattilantie 34,Kortesjärvi,62420,,,,,,
1002487,Patalankoski,Hydro,2.4,Patala,,,,UPM-Kymmene Oyj,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Ky-35,Kuusankoski,45700,,,,,,
1002488,Peltokoski,Hydro,2.3,"Peltokoski, Karjaa",,,,Koskienergia Koskivoima Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Kotakennääntie 31,Äänekoski,44100,,,,,,
1002617,Tahkoluoto Offshore tv,Wind,2.3,"Pori, Tahkoluodon edusta",,,,Suomen Hyötytuuli Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,PL 9,Pori,28101,,,,,,
1002382,Kattilakoski,Hydro,2.1,Kattilakoski,,,,Oy HERRFORS Ab,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Storgatan 8,68600 Jakobstad,,,,,,,
1002549,Sänkiaho,Oil,2.1,Sänkiahon 110/ 20 kV sähköasema,,,,Alajärven Sähkö Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Kauppakatu 1,Alajärvi,62900,,,,,,
1002405,Kokkola tv 1 ja 2,Wind,2,"Kokkola T1, T2 (á 1 MW)",,,,Innopower Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,"Töölönkatu 4, PL40",Helsinki,101,,,,,,
1002421,Kuokkastenkoski,Hydro,2,"Nurmes, Kuokkastenkoski",,,,Pohjois-Karjalan Sähkö Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Rantakatu 29,Joensuu,80100,,,,,,
1002432,Käenkoski,Hydro,2,Käenkoski,,,,Killin Voima Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,PL 25,Virrat,34801,,,,,,
1002590,"Inkoo, Barösund tv",Wind,2,Inkoo Barösund tv,,,,Saba Wind Oy Ab,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,"c/o Ålands Företagsbyrå, Nygatan 9",Mariehamm,22100,,,,,,
1002451,Matarakoski,Hydro,11,Matarakoski,,,,Kemijoki Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,PL 8131,ROVANIEMI,96101,,,,,,
1002628,"Kemi Ajos, Sumituuli",Wind,2,Kemi Ajos Sumituuli,,,,Sumituuli Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Vojakkalan vanhatie 43,Tornio,95500,,,,,,
1002498,Portimokoski,Hydro,11,Portimokoski,,,,Tornionlaakson Voima Oy-,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Myllytie 1,Pello,95700,,,,,,
1002650,Hilskansaari,Wind,2,"Merituulentie 11, Pori",,,,Pohjantuulen Voima Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Rovakatu 13 A 39,Rovaniemi,96100,,,,,,
1002597,Wärtsilä tehdas,Oil,10.4,Wärtsilä Engine Laboratory,,,,Wärtsilä Finland Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,Heavy distillates,Järvikatu 2-4,Vaasa,65100,,,,,,
1002670,Huikku Hailuoto,Wind,2,Huikku Hailuoto,,,,Huikku Tuulivoima Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,,,,,,,,,
1002480,Oulunsalo Riutunkari tv,Wind,10.3,"Oulunsalo, Riutunkari T1-T6",,,,Innopower Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,"Töölönkatu 4, PL40",Helsinki,101,,,,,,
1002448,Maavesi,Hydro,1.9,"Joroinen, Katajamäentie 1461, Maavesi",,,,Savon Voima Oyj,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,PL 1024,Toivala,70901,,,,,,
1002351,Imatran Energia,Natural Gas,10,"Piikatu 16, 55120 Imatra",CHP,,,Imatran Energia Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Karhumäenkatu 2,Imatra,55120,,,,,,
1002315,Billnäs,Hydro,1.8,"Billnäs, Pohja",,,,Koskienergia Koskivoima Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Kotakennääntie 31,Äänekoski,44100,,,,,,
1002491,Pieksämäki,Peat,10,"Pieksämäki, Kutteritie 2A",CHP,,,Savon Voima Oyj,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,PL 1024,Toivala,70101,,,,,,
1002362,Juntola,Hydro,1.8,"Juntola, Paimio",,,,Koskienergia Koskivoima Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Kotakennääntie 31,Äänekoski,44100,,,,,,
1002637,Salo Märynummi,Wind,10,Salo Märynummi,,,,Tuuliwatti Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Purotie 1,PL 100,(00)381,,,,,,
1002373,Kalajärvi,Hydro,1.8,"Kalajärvi, Seinäjoki",,,,Seinäjoen Energia Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Varastotie 5,Seinäjoki,60100,,,,,,
1002388,Kelukoski,Hydro,9.8,Kelukoski,,,,Kemijoki Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,PL 8131,ROVANIEMI,96101,,,,,,
1002400,Koivukoski,Hydro,1.8,Koivukosken voimalaitos Kotka,,,,Kolsin Vesivoimantuotanto Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Kolsintie 230,KOKEMÄKI,32800,,,,,,
1002328,Harabacka,Natural Gas,9.6,Harabacka,,,,,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,Medium heavy distillates,,,6100,,,,,,
1002458,Mustio,Hydro,1.8,"Mustio, Karjaa",,,,Koskienergia Koskivoima Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Kotakennääntie 31,Äänekoski,44100,,,,,,
1002592,Vuolenkoski ve,Hydro,9.5,Vuolenkosken vesivoimalaitos,,,,Myllykoski Paper Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Myllykoskentie 1,Anjalankoski,46800,,,,,,
1002533,Siikakoski,Hydro,1.8,Valkeala / Siikakoski,,,,KSS Energia Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Paimenpolku 3,Kouvola,45100,,,,,,
1002619,"Simo, Putaankangas tv",Wind,9,"Simo, Putaankangas",,,,Tuuliwatti Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Purotie 1,PL 100,(00)381,,,,,,
1002538,Soilu,Hydro,1.8,Soilu,,,,Koskienergia Koskivoima Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Kotakennääntie 31,Äänekoski,44100,,,,,,
1002620,"Simo, Onkalonperä tv",Wind,9,"Simo, Onkaloperä tv",,,,Tuuliwatti Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Purotie 1,PL 100,(00)381,,,,,,
1002584,Venetpalo,Hydro,1.8,Kärsämäki / Venetpalo,,,,Vattenfall Sähköntuotanto oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Maaistraatinportti 4 A,Helsinki,240,,,,,,
1002591,Voikkaa ve 1,Hydro,8.9,Voikkaa 1,,,,UPM-Kymmene Oyj,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Ky-35,Kuusankoski,45700,,,,,,
1002596,Vääräkoski,Hydro,1.8,"Tohmajärvi, Vääräkoski",,,,Pohjois-Karjalan Sähkö Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Rantakatu 29,Joensuu,80100,,,,,,
1002546,Säkylä,Oil,8.8,Säkylä,CHP,,,Voimavasu Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,PL 22,Jyväskylä,40101,,,,,,
1002367,Järvelän vaneritehdas,Biomass,1.6,"Koskisen Oy, Järvelän levyteollisuus",CHP,,,Koskipower Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,Forest fuelwood,Tehdastie 2,JÄRVELÄ,16600,,,,,,
1002555,Tammerkoski,Hydro,8.6,Tammerkoski,,,,Tampereen Sähkölaitos,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,PL 175,TAMPERE,33101,,,,,,
1002398,Kissakoski,Hydro,1.6,"Hirvensalmi, Kissakoski",,,,SUUR-SAVON SÄHKÖ Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,"Otto Mannisen katu 6, PL 3",Mikkeli,50101,,,,,,
1002339,Hirvikoski,Hydro,8.5,Nurmo / Hirvikoski,,,,Vattenfall Sähköntuotanto oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Maaistraatinportti 4 A,Helsinki,240,,,,,,
1002523,Saario,Hydro,1.6,"Tohmajärvi, Saario",,,,Pohjois-Karjalan Sähkö Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Rantakatu 29,Joensuu,80100,,,,,,
1002409,Korkeakoski,Hydro,8.5,Korkeakosken voimalaitos Kotka,,,,Kolsin Vesivoimantuotanto Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Kolsintie 230,KOKEMÄKI,32800,,,,,,
1002634,Lumijoki,Wind,1.6,Lumijoki,,,,Lumituuli Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Eerikinkatu 27,Helsinki,180,,,,,,
1002519,Ristiina,Biomass,8.5,Ristiina,CHP,,,Järvi-Suomen Voima Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,Heavy distillates,Töölönkatu 4,Helsinki,100,,,,,,
1002658,Sähkäle  II,Wind,1.6,"Sähkäle II, Lumijoki",,,,Lumituuli Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Eerikinkatu 27,Helsinki,180,,,,,,
1002680,Myllykangas 3,Wind,8.4,Tuulijärventie 1338,,,,Myllykankaan Tuulipuisto II Ky,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,"c/o Taaleritehdas Oyj, Kluuvikatu 3",Helsinki,100,,,,,,
1002324,Haminan höyrykattilalaitos,Natural Gas,1.5,Hamina,CHP,,,Haminan Energia Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Reutsinkatu 12,Hamina,48810,,,,,,
1002589,"Hanko, Sändö tv 1-4",Wind,8,"Hanko, Sändö tv 1-4",,,,Saba Wind Oy Ab,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,"c/o Ålands Företagsbyrå, Nygatan 9",Mariehamm,22100,,,,,,
1002326,Hanhikoski,Hydro,1.5,Evijärvi / Hanhikoski,,,,Vattenfall Sähköntuotanto oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Maaistraatinportti 4 A,Helsinki,240,,,,,,
1002623,"Hamina, Mäkelänkangas tv",Wind,8,"Hamina, Mäkelänkangas tv",,,,Suomen Voima Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Mannerheiminkatu 24,06100 Porvoo,,,,,,,
1002340,"Hoikankangas, Kajaanin sähkölaitos",Oil,1.5,"Hoikankangas, Kajaanin sähkölaitos",CHP,,,Puolustushallinnon rakennuslaitos,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,"Unioninkatu 8, PL 199",Helsinki,131,,,,,,
1002392,Kierikki,Hydro,38,kierikki,,,,PVO Vesivoima Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Virkkulantie 207,91100 Ii,91100,,,,,,
1002431,Kyrkösjärvi,Hydro,7.8,"Kyrkösjärvi, Seinäjoki",,,,Seinäjoen Energia Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Varastotie 5,Seinäjoki,60100,,,,,,
1002464,Mänttä ve,Hydro,1.5,Mäntänkoskentie 15 Mänttä,,,,Mäntän Energia Oy,,,Finnish Energy Authority,http://www.energiavirasto.fi/en/voimalaitosrekisteri,,,,,,,,,,Finland,Finland National Grid,,,,Lampilinnantie 4,Mänttä,35800,,,,,,
