PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant Type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh,Year of Data
1016175,CC Agua Prieta,Natural Gas,394,,CCGT,2013,,,,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,,,,,,,,,,,,,2012
1016150,Dulces Nombres II,Natural Gas,"1,143",,CCGT,2006,,,,,SENER,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwih9cfR-qfOAhWM5IMKHZSNCa8QFggfMAA&url=https%3A%2F%2Fwww.gob.mx%2Fcms%2Fuploads%2Fattachment%2Ffile%2F44328%2FProspectiva_del_Sector_Electrico.pdf&usg=AFQjCNFCLI_jdrDPgffEsIxREvqhIGlFyw&sig2=V5xVrel1-nseKS4XwiBddw&bvm=bv.128617741,bs.1,d.eWE",,,,,,,Operating,Mexico,,,,,,,,,,,,,,2015
1016151,Valladolid (Felipe Carrillo Puerto),Natural Gas,841,Yucatan,CCGT,2006,,,,,SENER,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwih9cfR-qfOAhWM5IMKHZSNCa8QFggfMAA&url=https%3A%2F%2Fwww.gob.mx%2Fcms%2Fuploads%2Fattachment%2Ffile%2F44328%2FProspectiva_del_Sector_Electrico.pdf&usg=AFQjCNFCLI_jdrDPgffEsIxREvqhIGlFyw&sig2=V5xVrel1-nseKS4XwiBddw&bvm=bv.128617741,bs.1,d.eWE",,,,,,,Operating,Mexico,,,,,,,,,,,,,,2015
1016152,Tuxpan V,Natural Gas,548,,CCGT,2006,,,,,SENER,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwih9cfR-qfOAhWM5IMKHZSNCa8QFggfMAA&url=https%3A%2F%2Fwww.gob.mx%2Fcms%2Fuploads%2Fattachment%2Ffile%2F44328%2FProspectiva_del_Sector_Electrico.pdf&usg=AFQjCNFCLI_jdrDPgffEsIxREvqhIGlFyw&sig2=V5xVrel1-nseKS4XwiBddw&bvm=bv.128617741,bs.1,d.eWE",,,,,,,Operating,Mexico,,,,,,,,,,,,,,2015
1016153,Tamazunchale,Natural Gas,161,,CCGT,2007,,,,,SENER,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwih9cfR-qfOAhWM5IMKHZSNCa8QFggfMAA&url=https%3A%2F%2Fwww.gob.mx%2Fcms%2Fuploads%2Fattachment%2Ffile%2F44328%2FProspectiva_del_Sector_Electrico.pdf&usg=AFQjCNFCLI_jdrDPgffEsIxREvqhIGlFyw&sig2=V5xVrel1-nseKS4XwiBddw&bvm=bv.128617741,bs.1,d.eWE",,,,,,,Operating,Mexico,,,,,,,,,,,,,,2015
1016154,Norte,Natural Gas,546,,CCGT,2010,,,,,SENER,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwih9cfR-qfOAhWM5IMKHZSNCa8QFggfMAA&url=https%3A%2F%2Fwww.gob.mx%2Fcms%2Fuploads%2Fattachment%2Ffile%2F44328%2FProspectiva_del_Sector_Electrico.pdf&usg=AFQjCNFCLI_jdrDPgffEsIxREvqhIGlFyw&sig2=V5xVrel1-nseKS4XwiBddw&bvm=bv.128617741,bs.1,d.eWE",,,,,,,Operating,Mexico,,,,,,,,,,,,,,2015
1016155,CCC Norte II,Natural Gas,553,,CCGT,2013,,,,,SENER,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwih9cfR-qfOAhWM5IMKHZSNCa8QFggfMAA&url=https%3A%2F%2Fwww.gob.mx%2Fcms%2Fuploads%2Fattachment%2Ffile%2F44328%2FProspectiva_del_Sector_Electrico.pdf&usg=AFQjCNFCLI_jdrDPgffEsIxREvqhIGlFyw&sig2=V5xVrel1-nseKS4XwiBddw&bvm=bv.128617741,bs.1,d.eWE",,,,,,,Operating,Mexico,,,,,,,,,,,,,,2015
1016083,Tula (Francisco Pérez Ríos),Natural Gas,1989,Tula,CCGT,,,,11703,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,67.2,,Operating,Mexico,,20.05906,-99.2771,Oil,,Tula,,,,,,,,2012
1016088,Salamanca,Natural Gas,1632,Salamanca,CCGT,2015,,,,"Originally constructed in 1971, this plant was recently retrofitted and transformed into a CCGT",CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,33.6,,Operating,Mexico,,,,Oil,,Salamanca,,,,,,,,2012
1016101,Mérida II,Natural Gas,198,Mérida,Sub-critical Thermal,,,,1017,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,58.6,,Operating,Mexico,,,,Oil,,Mérida,,,,,,,,2012
1016106,Laguna Verde,Nuclear,1475,Alto Lucero,BWR,,,,10805,Unit upgrade in 2015 by 110 MW,CFE,http://www.cfe.gob.mx/inversionistas/informacionareguladores/Documents/Informe%20Anual/Informe-Anual-2015-CFE-Acc.pdf,,,,,90.4,,Operating,Mexico,,,,,,Alto Lucero,,,,,,,,2012
1016086,Manzanillo (Manuel Álvarez Moreno),Oil,1200,Manzanillo,Sub-critical Thermal,,,,5846,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,55.6,,Operating,Mexico,,,,,,Manzanillo,,,,,,,,2012
1016087,Manzanillo II,Oil,700,Manzanillo,Sub-critical Thermal,,,,4331,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,70.6,,Operating,Mexico,,,,,,Manzanillo,,,,,,,,2012
1016089,Villa de Reyes,Oil,700,Villa de Reyes,Sub-critical Thermal,,,,3243,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,52.9,,Operating,Mexico,,,,,,Villa de Reyes,,,,,,,,2012
1016095,Lerdo (Guadalupe Victoria),Oil,320,Lerdo,Sub-critical Thermal,,,,2305,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,82.2,,Operating,Mexico,,,,,,Lerdo,,,,,,,,2012
1016096,Puerto Libertad,Oil,632,Pitiquito,Sub-critical Thermal,,,,3518,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,63.5,,Operating,Mexico,,,,,,Pitiquito,,,,,,,,2012
1016097,Guaymas II (Carlos Rodríguez Rivero),Oil,484,Guaymas,Sub-critical Thermal,,,,1358,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,32,,Operating,Mexico,,,,,,Guaymas,,,,,,,,2012
1016098,Mazatlán II (José Aceves Pozos),Oil,616,Mazatlán,Sub-critical Thermal,,,,3694,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,68.5,,Operating,Mexico,,,,,,Mazatlán,,,,,,,,2012
1016100,Lerma (Campeche),Oil,150,Campeche,Sub-critical Thermal,,,,729,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,55.5,,Operating,Mexico,,,,,,Campeche,,,,,,,,2012
1016102,Topolobampo II (Juan de Dios Bátiz),Oil,360,Ahome,Sub-critical Thermal,,,,2094,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,66.4,,Operating,Mexico,,,,,,Ahome,,,,,,,,2012
1016116,Poza Rica,Oil,117,Tihuatlán,Sub-critical Thermal,,,,591,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,57.7,,Operating,Mexico,,,,,,Tihuatlán,,,,,,,,2012
1016117,Punta Prieta,Oil,113,La Paz,Sub-critical Thermal,,,,634,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,64.3,,Operating,Mexico,,,,,,La Paz,,,,,,,,2012
1016109,Petacalco (Plutarco Elías Calles),Oil,2100,La Unión,Sub-critical Thermal and OCGT,,,,14275,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,77.6,,Operating,Mexico,,17.986101,-102.119601,Coal,,La Unión,,Once Through,Atoyac River (Uptake) Bay of Petacalco (Discharge),,,,,2012
1016107,San Carlos (Agustín Olachea A.),Oil,104,San Carlos,Diesel Generator,,,,586,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,64.2,,Operating,Mexico,,,,,,San Carlos,,,,,,,,2012
1016108,Baja California Sur I,Oil,43,La Paz,Diesel Generator,,,,121,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,74.9,,Operating,Mexico,,,,,,La Paz,,,,,,,,2012
1016122,Nachi-Cocom,Oil,79,Mérida,Sub-critical Thermal/OCGT,,,,264,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,38.2,,Operating,Mexico,,,,,,Mérida,,,,,,,,2012
1016090,Altamira,Oil,800,Altamira,Sub-critical Thermal,,,,3776,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,53.9,,Operating,Mexico,,22.43662,-98.007488,Natural Gas,,Altamira,,,,,,,,2012
1016091,Tuxpan (Adolfo López Mateos),Oil,2263,Tuxpan,Sub-critical Thermal,,,,12589,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,63.5,,Operating,Mexico,,21.014151,-97.335687,Natural Gas,,Tuxpan,,Once Through,Gulf of Mexico,,,,,2012
1016092,Río Bravo (Emilio Portes Gil),Oil,520,Río Bravo,Sub-critical Thermal/OCGT,,,,1513,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,33.2,,Operating,Mexico,,,,Natural Gas,,Río Bravo,,,,,,,,2012
1016093,Francisco Villa,Oil,300,Delicias,Sub-critical Thermal,,,,1479,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,56.3,,Operating,Mexico,,,,Natural Gas,,Delicias,,,,,,,,2012
1016094,Samalayuca,Oil,316,Cd. Juárez,Sub-critical Thermal,,,,1560,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,56.4,,Operating,Mexico,,,,Natural Gas,,Cd. Juárez,,,,,,,,2012
1016099,Presidente Juárez,Oil,1026,Rosarito,CCGT,,,,3772,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/POISE%20documentos/Attachments/6/POISE20072016jun.pdf,,,,,42,,Operating,Mexico,,32.368,-117.071,Natural Gas,,Rosarito,,,,,,,,2012
1016176,Campo Solar,Solar,14,,PV,2013,,,,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,,,,,,,,,,,,,2012
1016158,Piedra Larga,Wind,90,,Onshore Wind,2012,,,,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,16.527524,-94.926954,,,,,,,,,,,2012
1016171,El Porvenir,Wind,54,,Onshore Wind,2013,,,,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,25.913255,-98.206803,,,,,,,,,,,2012
1016167,Pier II,Wind,66,,Onshore Wind,2015,,,,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,,,,,,,,,,,,,2012
1016168,Sierra Juarez,Wind,155,,Onshore Wind,2015,,,,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,32.584611,-116.154344,,,,,,,,,,,2012
1016169,Bii Nee Stipa,Wind,246,,Onshore Wind,2010-2014,,,,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,,,,,,,,,,,,,2012
1016170,Bii Stinu,Wind,164,,Onshore Wind,2013,,,,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,16.486881,-94.963991,,,,,,,,,,,2012
1016172,Sureste,Wind,102,,Onshore Wind,2015,,,,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,16.539326,-94.990395,,,,,,,,,,,2012
1016159,Dominica I,Wind,200,,Onshore Wind,2014-2015,,,,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,23.3497,-101.351416,,,,,,,,,,,2012
1016160,Eurus,Wind,242,,Onshore Wind,2010-2015,,,,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,16.547055,-94.830437,,,,,,,,,,,2012
1016161,Fuerza Eolica del Istmo,Wind,50,,Onshore Wind,2011,,,,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,,,,,,,,,,,,,2012
1016162,La Mata,Wind,170,,Onshore Wind,2010-2015,,,,102 MW added in 2015,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,,,,,,,,,,,,,2012
1016163,La Ventosa,Wind,102,,Onshore Wind,2008-2013,,,,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,16.587641,-95.001844,,,,,,,,,,,2012
1016164,Los Altos,Wind,50,,Onshore Wind,2014,,,,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,,,,,,,,,,,,,2012
1016165,Pacifico,Wind,160,,Onshore Wind,2014,,,,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,20.3543,-97.414491,,,,,,,,,,,2012
1016166,Parque Ecologicos de Mexico,Wind,80,,Onshore Wind,2009,,,,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,,,,,,,,,,,,,2012
1016156,Oaxaca,Wind,409,,Onshore Wind,2012,,,,,SENER,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwih9cfR-qfOAhWM5IMKHZSNCa8QFggfMAA&url=https%3A%2F%2Fwww.gob.mx%2Fcms%2Fuploads%2Fattachment%2Ffile%2F44328%2FProspectiva_del_Sector_Electrico.pdf&usg=AFQjCNFCLI_jdrDPgffEsIxREvqhIGlFyw&sig2=V5xVrel1-nseKS4XwiBddw&bvm=bv.128617741,bs.1,d.eWE",,,,,,,Operating,Mexico,,16.425131,-94.971494,,,,,,,,,,,2015
1016157,La Ventana,Wind,186,,Onshore Wind,2012,,,,,SENER,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwih9cfR-qfOAhWM5IMKHZSNCa8QFggfMAA&url=https%3A%2F%2Fwww.gob.mx%2Fcms%2Fuploads%2Fattachment%2Ffile%2F44328%2FProspectiva_del_Sector_Electrico.pdf&usg=AFQjCNFCLI_jdrDPgffEsIxREvqhIGlFyw&sig2=V5xVrel1-nseKS4XwiBddw&bvm=bv.128617741,bs.1,d.eWE",,,,,,,Operating,Mexico,,16.577766,-94.823522,,,,,,,,,,,2015
1026649,Aura Solar 1,Solar,39,,PV,2013,,,,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,24.06128,-110.326,,,,,,,,,,,
1026650,Cerro Prieto Solar,Solar,5,,PV,2012,,,,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,32.41609,-115.235,,,,,,,,,,,
1026651,Tai Durango 1,Solar,16.8,,PV,2014,,,,,CFE,http://www.cfe.gob.mx/ConoceCFE/1_AcercadeCFE/Lists/Publicaciones%20Informes%20Anuales/Attachments/10/Informe2012CFE.pdf?Mobile=1,,,,,,,Operating,Mexico,,24.15417,-104.457,,,,,,,,,,,
