PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,Data Year
1003703,Engels TPP-3,Natural Gas,182,,,1958,,t+group,,1,t+group,Engels TPP-3,,,,,,,,Russia,,,,,,,,,,,,
1003704,GES-1 (PG Smidovich),Natural Gas,576,,,1897,,Mosenergo (subsidiary of Gazprom),,,Mosenergo,https://web.archive.org/web/20160314015543/http://www.mosenergo.ru/catalog/228.aspx,,,,,,,,Russia,,,,,,,,,,,,2010
1003705,"GT-TPP (gas turbine TPP) ""Luch""",Natural Gas,60,,,2005,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003707,Gubkin TPP,Natural Gas,29,,,1954,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003711,Iriklinskaya,Natural Gas,2430,,,1970,8(300)1(30),Inter RAO,,,Inter RAO,http://irao-generation.com/en/stations/,,,,,,,,Russia,,,,,,,,,,,,2016
1003712,Ivanovskaya CHPP-2,natural Gas,200,,,1954,,t+group,,1,t+group,Ivanova Branch,,,,,,,,Russia,,,,,,,,,,,,
1003712,Ivanovskaya CHPP-3,natural Gas,330,,,1974,,t+group,,1,t+group,Ivanova Branch,,,,,,,,Russia,,,,,,,,,,,,
1003713,Ivanovskiye,Natural Gas,325,,,2008,,Inter RAO,,,Inter RAO,http://irao-generation.com/en/stations/,,,,,,,,Russia,,,,,,,,,,,,2016
1003714,Izhevsk HPP-1,Natural Gas,291,,,1986-2011,"60, 231",t+group,,1,t+group,Izhevsk HPP-1,,,,,,,,Russia,,,,,,,,,,,,
1003714,Izhevsk HPP-2,Natural Gas,390,,,1982,,t+group,,1,t+group,Izhevsk HPP-2,,,,,,,,Russia,,,,,,,,,,,,
1003716,Kaliningradskaya,Natural Gas,900,,,2005,,Inter RAO,,,Inter RAO,http://irao-generation.com/en/stations/,,,,,,,,Russia,,54.66046,20.58146,,,,,,,,,2016
1003718,Kaluga TPP,Natural Gas,41.8,,,1948,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003719,Kamchatskiye CHPPs,Natural Gas,407,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003723,Kargalinskaya,Natural Gas,320,,,1973,,t+group,,1,t+group,Kargalinskaya CHP,,,,,,,,Russia,,,,,,,,,,,,
1003724,Karmanovskaya TPP,Natural Gas,"1,831.10",,,1968,,Bashkir,"19,567",Generation is from 2014,Bashkir,http://bgkrb.ru/eng/activities/index.php,,,,,,,,Russia,,,,,,,,,,,,2014
1003727,Khabarovskiye CHPPs,Natural Gas,"1,155",,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003729,Kirishskaya GRES,Natural Gas,"2,595",,,,,OGK-2 (subsidiary of GazProm),5796,,OGK-2,http://www.ogk2.ru/eng/about/branch/kirishskaya/,,,,,25.50%,,,Russia,,,,,,,,,,,,2014
1003732,Kizelovskaya TPP-3,Natural Gas,29,,,2004,,t+group,,1,t+group,Kizelovskaya TPP-3,,,,,,,,Russia,,,,,,,,,,,,
1003735,Komsomolskaya CHPP,Natural Gas,360,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003736,Komsomolskiye CHPPs,Natural Gas,600,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003737,Konakovskaya,Natural Gas,"2,520",,,1964-1969,3(320)5(300),PSJC Enel Russia (OGK-5),7753,Gross generation from 2015,PSJC Enel Russia (OGK-5),Konakovskaya,,,,,,,,Russia,,,,,,,,,,,,2015
1003738,Kostroma CHPP-1,Natural Gas,33,,,1930,,TGC-2,,,TGC-2,TGC2 Main Factors,,,,,,,,Russia,,,,,,,,,,,,
1003738,Kostroma CHPP-2,Natural Gas,170,,,1978,,TGC-2,,,TGC-2,TGC2 Main Factors,,,,,,,,Russia,,,,,,,,,,,,
1003743,Kumertauskaya TPP,Natural Gas,120,,CCGT,1954,,Bashkir,,,Bashkir,http://bgkrb.ru/eng/activities/index.php,,,,,,,,Russia,,,,,,,,,,,,2014
1003745,Kursk TPP-4*,Natural Gas,4.8,,,1934,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003747,Kyzym Mobile PP,Natural Gas,72,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003748,Labytnangi Mobile PP,Natural Gas,73,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003750,Livny TPP,Natural Gas,42,,,1958,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003751,Magadanskaya CHPP,Natural Gas,96,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003752,Mezhdunarodnaya,Natural Gas,121,,,2007,1 unit,Technoproexport,,9,Technoproexport,Technoproexport (p.6-7),,,,,,,,Russia,,,,,,,,,,,,
1003754,Mirninskaya TPP,Natural Gas,72,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003757,Nevinnomysskya,Natural Gas,"1,530",,CCGT,2011,14 units,PSJC Enel Russia (OGK-5),8601,Generation from 2015,PSJC Enel Russia (OGK-5),Nevinnomysskya,,,,,,,,Russia,,44.658,41.93,,,,,,,,,2015
1003758,Nikolaevskaya CHPP,Natural Gas,131,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003760,Nizhnetouriskaya,Natural Gas,460,,,2015,,t+group,,1,t+group,Nizhnetouriskaya,,,,,,,,Russia,,,,,,,,,,,,
1003761,Nizhnevartovskaya,Natural Gas,"2,013",,,1993-2014,3 units,Inter RAO,,,Inter RAO,http://irao-generation.com/en/stations/,,,,,,,,Russia,,,,,,,,,,,,2016
1003762,Northwest CHP,Natural Gas,900,,,2000-2006,2(450),Technoproexport,,,Technoproexport,Technoproexport (p.6-7),,,,,,,,Russia,,,,,,,,,,,,
1003764,Novo Sverdlovsk,Natural Gas,557,,,1982,,t+group,,1,t+group,Novo Sverdlovsk,,,,,,,,Russia,,,,,,,,,,,,
1003767,"Novo-Sterlitamakskaya TPP, a generation facility of Sterlitamakskaya TPP",Natural Gas,255,,CCGT,1977,,Bashkir,,,Bashkir,http://bgkrb.ru/eng/activities/index.php,,,,,,,,Russia,,,,,,,,,,,,2014
1003769,Novocheboksarsk CHPP-2,Natural Gas,370,,,1965,,t+group,,1,t+group,Novocheboksarsk CHPP-2,,,,,,,,Russia,,,,,,,,,,,,
1003771,Novogorkovskaya CHP,Natural Gas,548,,CCGT,2014,,t+group,,1,t+group,Novogorkovskay CHP,,,,,,,,Russia,,,,,,,,,,,,
1003772,Novokuibyshevsk HPP-1,Natural Gas,372,,,1951,6 unit,t+group,,1,t+group,Novokuibyshevsk HPP-1,,,,,,,,Russia,,,,,,,,,,,,
1003773,Novomoskovsk SDPS,Natural Gas,323.7,,,1934,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003776,Orel TPP,Natural Gas,330,,,1946,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003777,Orsk TPP-1,Natural Gas,245,,,1938,,t+group,,1,t+group,Orsk TPP-1,,,,,,,,Russia,,,,,,,,,,,,
1003780,Pechorskaya,Natural Gas,"1,060",,,1979,2(210)2(215),Inter RAO,,,Inter RAO,http://irao-generation.com/en/stations/,,,,,,,,Russia,,,,,,,,,,,,2016
1003781,Penza TPP-1,natural Gas,385,,,1943,,t+group,,1,t+group,Penza TPP-1,,,,,,,,Russia,,,,,,,,,,,,
1003781,Penza TPP-2,natural Gas,16,,,1957,,t+group,,1,t+group,Penza TPP-2,,,,,,,,Russia,,,,,,,,,,,,
1003782,Perm HPP-13,Natural Gas,34,,,2006,,t+group,,1,t+group,Perm HPP-13,,,,,,,,Russia,,,,,,,,,,,,
1003782,Perm HPP-14,Natural Gas,330,,,1961-2009,,t+group,,1,t+group,Perm HPP-14,,,,,,,,Russia,,,,,,,,,,,,
1003782,Perm HPP-6,Natural Gas,180,,,1942,,t+group,,1,t+group,Perm HPP-6,,,,,,,,Russia,,,,,,,,,,,,
1003783,Perm HPP-9,Natural Gas,410,,,1951-1980,,t+group,,1,t+group,Perm HPP-9,,,,,,,,Russia,,,,,,,,,,,,
1003784,Permskaya,Natural Gas,"2,400",,,1986-1991,3(800),Inter RAO,,,Inter RAO,http://irao-generation.com/en/stations/,,,,,,,,Russia,,,,,,,,,,,,2016
1003785,Pervouralsk TEZ,Natural Gas,36,,,1956,,t+group,,1,t+group,Pervouralsk TEZ,,,,,,,,Russia,,,,,,,,,,,,
1003787,Priufimskaya TPP,Natural Gas,210,,CCGT,1976,,Bashkir,,,Bashkir,http://bgkrb.ru/eng/activities/index.php,,,,,,,,Russia,,,,,,,,,,,,2014
1003788,Pskovskaya GRES,Natural Gas,440,,,,,OGK-2 (subsidiary of GazProm),992,,OGK-2,http://www.ogk2.ru/eng/about/branch/pskovskaya/,,,,,25.80%,,,Russia,,,,,,,,,,,,2014
1003789,Raychikhiskaya TPP,Natural Gas,102,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003793,Ryazanskaya GRES,Natural Gas,"3,070",,,,,OGK-2 (subsidiary of GazProm),6323,,OGK-2,http://www.ogk2.ru/eng/about/branch/ryazanskaya/,,,,,23.50%,,,Russia,,,,,,,,,,,,2014
1003794,Sakhalinskaya TPP,Natural Gas,252,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003795,Sakmarskaya TPP,Natural Gas,460,,,1969,,t+group,,1,t+group,Sakmarskaya TPP,,,,,,,,Russia,,,,,,,,,,,,
1003796,Salavatskaya TPP,Natural Gas,185,,CCGT,1953,,Bashkir,,,Bashkir,http://bgkrb.ru/eng/activities/index.php,,,,,,,,Russia,,,,,,,,,,,,2014
1003797,Samara GRES,Natural Gas,61,,,1900,,t+group,,1,t+group,Samara GRES,,,,,,,,Russia,,,,,,,,,,,,
1003798,Samara TPP,Natural Gas,440,,,1971,5 units,t+group,,1,t+group,Samara TPP,,,,,,,,Russia,,,,,,,,,,,,
1003800,Saratov HPP-2,Natural Gas,224,,,1950,,t+group,,1,t+group,Saratov HPP-2,,,,,,,,Russia,,,,,,,,,,,,
1003800,Saratov HPP-5,Natural Gas,445,,,1978,,t+group,,1,t+group,Saratov HPP-5,,,,,,,,Russia,,,,,,,,,,,,
1003801,Saratov TPP- HPP 1,Natural Gas,72,,,1930,,t+group,,1,t+group,Saratov TPP- HPP 1,,,,,,,,Russia,,,,,,,,,,,,
1003806,Severo-Zapadnaya,Natural Gas,900,,,2000-2006,2(450),Inter RAO,,,Inter RAO,http://irao-generation.com/en/stations/,,,,,,,,Russia,,,,,,,,,,,,2016
1003808,Shaturskaya GRES,Natural Gas,"1,500",,,,,e·on Russia,"4,760",CHP,e·on Russia,http://www.eon.com/content/dam/eon-com/en/downloads/a/Acquisition_of_OGK4_17092007.pdf,,,,,,,,Russia,,,,Peat,,,,,,,,2007
1003809,Shchekinskaya SDPS*,Natural Gas,400,,,1950,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003811,"Sibay TPP, a generation facility of Zauralskaya TPP",Natural Gas,16,,CCGT,2011,,Bashkir,,,Bashkir,http://bgkrb.ru/eng/activities/index.php,,,,,,,,Russia,,,,,,,,,,,,2014
1003813,Smolensk TPP-2,Natural Gas,275,,,1973,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003814,Smolenskaya GRES,Natural Gas,630,,,,,e·on Russia,"2,390",CHP,e·on Russia,http://www.eon.com/content/dam/eon-com/en/downloads/a/Acquisition_of_OGK4_17092007.pdf,,,,,,,,Russia,,,,,,,,,,,,2007
1003815,Sochinskaya,Natural Gas,236,,,2004,2(78)1(80),Inter RAO,,,Inter RAO,http://irao-generation.com/en/stations/,,,,,,,,Russia,,,,,,,,,,,,2016
1003816,Sormovo cogeneration station,natural Gas,350,,,1974,,t+group,,1,t+group,Sormovo Cogeneration Station,,,,,,,,Russia,,,,,,,,,,,,
1003818,Srednevralskaya,Natural Gas,"1,657",,,2011,,PSJC Enel Russia (OGK-5),8029,Generation from 2015,PSJC Enel Russia (OGK-5),Srednevralskaya,,,,,,,,Russia,,57.00324,60.46345,,,,,,,,,2015
1003819,Stavropolskaya GRES,Natural Gas,"2,400",,,,,OGK-2 (subsidiary of GazProm),8496,,OGK-2,http://www.ogk2.ru/eng/about/branch/stavropolskaya/,,,,,40.40%,,,Russia,,45.3116,41.51256,,,,,,,,,2014
1003820,Sterlitamakskaya TPP,Natural Gas,345,,CCGT,1957,,Bashkir,,,Bashkir,http://bgkrb.ru/eng/activities/index.php,,,,,,,,Russia,,,,,,,,,,,,2014
1003821,Surgutskaya GRES-1,Natural Gas,"3,268",,,,,OGK-2 (subsidiary of GazProm),21615,,OGK-2,http://www.ogk2.ru/eng/about/branch/surgutskaya/,,,,,75%,,,Russia,,,,,,,,,,,,2014
1003821,Surgutskaya GRES-2,Natural Gas,"5,600",,,,,e·on Russia,"32,890",CHP,e·on Russia,http://www.eon.com/content/dam/eon-com/en/downloads/a/Acquisition_of_OGK4_17092007.pdf,,,,,,,,Russia,,,,,,,,,,,,2007
1003822,Sverdlovsk CHP,Natural Gas,36,,,1992,,t+group,,1,t+group,Sverdlovsk CHP,,,,,,,,Russia,,,,,,,,,,,,
1003823,Syzran TPP,Natural Gas,372,,,1947,,t+group,,1,t+group,Syzran TPP,,,,,,,,Russia,,,,,,,,,,,,
1003824,Tambov TPP,Natural Gas,235,,,1954,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003825,Tchailkovsky CHP-18,Natural Gas,200,,,1978,,t+group,,1,t+group,Tchailkovsky CHP-18,,,,,,,,Russia,,,,,,,,,,,,
1003829,Tobolsk CHP,Natural Gas,665,,,1980-2011,"165, 170, 140 (Thermal units), 213 (CCGT)",Fortum,,,Fortum,Fortum Heat and Power,,,,,,,,Russia,,,,,,,,,,,,2016
1003833,TPP Quadra,Natural Gas,116.9,,,2011,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003834,TPP-1,Natural Gas,175,,,1955,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003834,TPP-1,Natural Gas,138,,,1933,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003835,"TPP-1, a generation facility of Ufimskaya TPP-4",Natural Gas,77.74,,CCGT,1938,,Bashkir,,,Bashkir,http://bgkrb.ru/eng/activities/index.php,,,,,,,,Russia,,,,,,,,,,,,2014
1003836,TPP-2,Natural Gas,127,,,1957,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003836,TPP-2,Natural Gas,515,,,1978,,Quandra,,,Quandra,Quadra Production Capacity,,,,,,,,Russia,,,,,,,,,,,,
1003837,TPP-3 (R.E. Klasson),Natural Gas,548,,,1914,,Mosenergo (subsidiary of Gazprom),,,Mosenergo,https://web.archive.org/web/20160314015543/http://www.mosenergo.ru/catalog/228.aspx,,,,,,,,Russia,,,,,,,,,,,,2010
1003838,TPP-9,Natural Gas,210,,,1933,,Mosenergo (subsidiary of Gazprom),,,Mosenergo,https://web.archive.org/web/20160314015543/http://www.mosenergo.ru/catalog/228.aspx,,,,,,,,Russia,,,,,,,,,,,,2010
1003840,Tyumen CHP-1,Natural Gas,662,,,1960-2010,2(40)3(77)1(220)1(230),Fortum,,,Fortum,Fortum Heat and Power,,,,,,,,Russia,,,,,,,,,,,,2016
1003840,Tyumen CHP-2,Natural Gas,755,,,1986-1989,"3(180), 1(215)",Fortum,,,Fortum,Fortum Heat and Power,,,,,,,,Russia,,,,,,,,,,,,2016
1003842,Ufimskaya TPP-2,Natural Gas,514,,CCGT,1940,,Bashkir,,,Bashkir,http://bgkrb.ru/eng/activities/index.php,,,,,,,,Russia,,,,,,,,,,,,2014
1003842,Ufimskaya TPP-3,Natural Gas,95,,CCGT,1951,,Bashkir,,,Bashkir,http://bgkrb.ru/eng/activities/index.php,,,,,,,,Russia,,,,,,,,,,,,2014
1003842,Ufimskaya TPP-4,Natural Gas,270,,CCGT,1956,,Bashkir,,,Bashkir,http://bgkrb.ru/eng/activities/index.php,,,,,,,,Russia,,,,,,,,,,,,2014
1003843,Ulyanovsk TPP-1,Natural Gas,435,,,1973,,t+group,,1,t+group,Ulyanovsk TPP-1,,,,,,,,Russia,,,,,,,,,,,,
1003843,Ulyanovsk TPP-2,Natural Gas,417,,,1978,,t+group,,1,t+group,Ulyanovsk TPP-2,,,,,,,,Russia,,,,,,,,,,,,
1003844,Urengoy Mobile PP,Natural Gas,72,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003845,Urengoyskaya,Natural Gas,498,,,1987,,Inter RAO,,,Inter RAO,http://irao-generation.com/en/stations/,,,,,,,,Russia,,,,,,,,,,,,2016
1003845,Urengoyskaya,Natural Gas,450,,,2012,1 unit,Technoproexport,,,Technoproexport,Technoproexport (p.6-7),,,,,,,,Russia,,,,,,,,,,,,
1003848,Vanovskie,Natural Gas,650,,,2007-2012,2(325),Technoproexport,,,Technoproexport,Technoproexport (p.6-7),,,,,,,,Russia,,,,,,,,,,,,
1003849,Verkhnetagilskaya,Natural Gas,"1,497",,,1956-1964,4(88)2(100)2(165)3(205),Inter RAO,,,Inter RAO,http://irao-generation.com/en/stations/,,,,,,,,Russia,,,,,,,,,,,,2016
1003850,Vladivostok CHPP,Natural Gas,497,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003851,Vladmir Branch,Natural Gas,596,,,1962,,t+group,,1,t+group,Vladmir,,,,,,,,Russia,,,,,,,,,,,,
1003852,Vologda CHP,Natural Gas,146,,CCGT,2011,,TGC-2,,,TGC-2,TGC2 Main Factors,,,,,,,,Russia,,,,,,,,,,,,
1003857,Yakutskaya TPP,Natural Gas,320,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003858,Yaroslavl TPP-1,Natural Gas,345,,,1961,,TGC-2,,,TGC-2,TGC2 Main Factors,,,,,,,,Russia,,,,,,,,,,,,
1003858,Yaroslavl TPP-2,Natural Gas,160,,,1965,,TGC-2,,,TGC-2,TGC2 Main Factors,,,,,,,,Russia,,,,,,,,,,,,
1003858,Yaroslavl TPP-3,Natural Gas,320,,,1961-1970,,TGC-2,,,TGC-2,TGC2 Main Factors,,,,,,,,Russia,,,,,,,,,,,,
1003859,Yavinskaya GRES,Natural Gas,"1,000",,,,,e·on Russia,"4,070",CHP,e·on Russia,http://www.eon.com/content/dam/eon-com/en/downloads/a/Acquisition_of_OGK4_17092007.pdf,,,,,,,,Russia,,59.3393,57.24566,,,,,,,,,2007
1003860,Yoshkar-Ola CHPP-2,Natural Gas,195,,,1984,,t+group,,1,t+group,Yoshkar-Ola CHPP-2,,,,,,,,Russia,,,,,,,,,,,,
1003862,Yuzhnaya,Natural Gas,450,,,2011,1 unit,Technoproexport,,,Technoproexport,Technoproexport (p.6-7),,,,,,,,Russia,,,,,,,,,,,,
1003863,Yuzhno-Sakhalinskaya CHPP,Natural Gas,316,,,,,RusHydro,,,RusHydro,RusHydro,,,,,,,,Russia,,,,,,,,,,,,
1003864,Yuzhnouralskaya 1,Natural Gas,882,,,1952-1991,2(200 use coal) 2(50)(35)(83)(100)2(82),Inter RAO,,,Inter RAO,http://irao-generation.com/en/stations/,,,,,,,,Russia,,,,,,,,,,,,2016
1003864,Yuzhnouralskaya 2,Natural Gas,834,,,2014,2(400),Inter RAO,,,Inter RAO,http://irao-generation.com/en/stations/,,,,,,,,Russia,,,,,,,,,,,,2016
1003866,Zakamskaya,Natural Gas,69,,,1986,,t+group,,1,t+group,Zakamskaya,,,,,,,,Russia,,,,,,,,,,,,
1003868,Zauralskaya TPP,Natural Gas,14.95,,CCGT,2004,,Bashkir,,,Bashkir,http://bgkrb.ru/eng/activities/index.php,,,,,,,,Russia,,,,,,,,,,,,2014
1023915,Balakovo NPP,Nuclear,"4,000",,,1985-1993,4(1000),Rosatom,"29,820",,IAEA PRIS,http://www.balnpp.rosenergoatom.ru/,,,,,,,,,,,,,,,,,,,,
1003666,Beloyarsk,Nuclear,"1,480",x,,1980-2007,"600, 840",Rosatom,"4,523",,IAEA PRIS,Rosenergoatom,,,,,,,,Russia,,,,,,,,,,,,
1003671,Bilibino,Nuclear,48,,,1973-1977,4(12),Rosatom,220,,IAEA PRIS,Rosenergoatom,,,,,,,,Russia,,,,,,,,,,,,
1003717,Kalinn NPP,Nuclear,"4,000",x,,1984-2011,4(1000),Rosatom,"33,441",,IAEA PRIS,Kalinn NPP,,,,,95.44,,,Russia,,57.9033,35.05547,,,,,,,,,
1003733,Kola NPP,Nuclear,"1,760",,,1973-1984,4(440),Rosatom,"10,361",,IAEA PRIS,Kola NPP,,,,,,,,Russia,,,,,,,,,,,,
1003744,Kursk,Nuclear,"3,070",,,2001-2014,,Rosatom,"29,223",,IAEA PRIS,Rosenergoatom,,,,,,,,Russia,,,,,,,,,,,,
1003749,Leningrad NPP,Nuclear,"4,000",,,1973-1981,4(1000),Rosatom,"25,373",,IAEA PRIS,Leningrad NPP,,,,,,,,Russia,,,,,,,,,,,,
1003775,Novovoronezh,Nuclear,"1,834",,,1971-1980,,Rosatom,"13,242",,IAEA PRIS,Novovoronezh NPP,,,,,,,,Russia,,,,,,,,,,,,
1003791,Rostov NPP,Nuclear,"4,000",,,1976-1985,,Rosatom,"15,704",,IAEA PRIS,Rostov,,,,,,,,Russia,,,,,,,,,,,,
1003812,Smolensk,Nuclear,"3,000",,,1982-1990,,Rosatom,"23,673",,IAEA PRIS,Smolensk NPP,,,,,,,,Russia,,,,,,,,,,,,
1003841,Tyupkildy Wind Farm,Wind,2.2,,,2001,,Bashkir,,,Bashkir,http://bgkrb.ru/eng/activities/index.php,,,,,,,,Russia,,,,,,,,,,,,2014
,,,197117.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
